Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 99;
A6EC8631-8CFD-4B9C-A0EF-1D01A48CB704;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/9AF38487-B057-4AD1-A4CD-7AD20E2BB776/batches/A6EC8631-8CFD-4B9C-A0EF-1D01A48CB704]
F01E9624-F104-4907-939D-456410726C4B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/AB0391C8-0478-4A5D-84A5-139E8D5A1971/batches/F01E9624-F104-4907-939D-456410726C4B]
80C0E61B-6EAC-4F02-AADE-14B3FF3E7BEB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/AB0391C8-0478-4A5D-84A5-139E8D5A1971/batches/80C0E61B-6EAC-4F02-AADE-14B3FF3E7BEB]
B622DD71-E5E8-4991-BBD5-729E94C1B57C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/EB9E11EA-34FC-429B-AC24-532AA0E215B5/batches/B622DD71-E5E8-4991-BBD5-729E94C1B57C]
ECFCFC31-029A-4686-BF6E-BAD0C44F9965;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/C9130D48-E0BE-466B-A7D4-63E8B88821EF/batches/ECFCFC31-029A-4686-BF6E-BAD0C44F9965]
D89C7D13-8578-4A7E-81EC-2D860D3AE32B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/E436F56B-7FB0-4DA6-876E-8AFCFD2F7FF1/batches/D89C7D13-8578-4A7E-81EC-2D860D3AE32B]
D1FA85B5-117F-49A4-8EFC-C3EF6CF8F3B4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/37AD71C5-AC88-488B-B2B9-D42A78404F91/batches/D1FA85B5-117F-49A4-8EFC-C3EF6CF8F3B4]
A93E1844-4527-4E50-B783-CE9FEB13EA48;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/C9130D48-E0BE-466B-A7D4-63E8B88821EF/batches/A93E1844-4527-4E50-B783-CE9FEB13EA48]
51DFFF1B-CA0E-4E8C-B1AF-82BCA8121283;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/94CFDE5E-7C26-4A0C-9B45-3FB5D28F7357/batches/51DFFF1B-CA0E-4E8C-B1AF-82BCA8121283]
70080761-5B61-417B-86D4-093B39120378;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/D4CDE478-288E-4603-8E26-284B55A5EB83/batches/70080761-5B61-417B-86D4-093B39120378]
F60822DE-763D-46BF-82C4-1490C508288E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/EB9E11EA-34FC-429B-AC24-532AA0E215B5/batches/F60822DE-763D-46BF-82C4-1490C508288E]
13DED0CF-7C43-4658-BFF0-D33C2E6F73D3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/027B9400-FCF9-41AD-BE20-A98E167BE316/batches/13DED0CF-7C43-4658-BFF0-D33C2E6F73D3]
E0617211-E358-45A9-93B8-87B2AD9068CF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/E436F56B-7FB0-4DA6-876E-8AFCFD2F7FF1/batches/E0617211-E358-45A9-93B8-87B2AD9068CF]
3828CC3B-A1B1-4204-88C1-04C6D8E69591;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/0BEB3940-C1D1-4494-B9A1-044A77B72F6D/batches/3828CC3B-A1B1-4204-88C1-04C6D8E69591]
B009E0FC-C6C2-4C74-A840-7D18590C9C72;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/overview]
804E6736-2218-487B-B121-6DEE4D7A53E3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/94CFDE5E-7C26-4A0C-9B45-3FB5D28F7357/batches/804E6736-2218-487B-B121-6DEE4D7A53E3]
6FD9E504-2219-4FD4-8849-D637C657BE09;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/E436F56B-7FB0-4DA6-876E-8AFCFD2F7FF1/batches/6FD9E504-2219-4FD4-8849-D637C657BE09]
465411BF-4D2C-4A01-A2D7-F2BECAA10FB5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/B9B69099-BA11-462B-9489-A967910B6B09/batches/465411BF-4D2C-4A01-A2D7-F2BECAA10FB5]
65FD00A3-013E-409A-9614-B4DD487A3299;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/1647B7BC-3FFA-4098-B078-164FDA8183FA/batches/65FD00A3-013E-409A-9614-B4DD487A3299]
00DA6468-F127-4619-A086-E6E4F5FE39F1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/E436F56B-7FB0-4DA6-876E-8AFCFD2F7FF1/batches/00DA6468-F127-4619-A086-E6E4F5FE39F1]
EAAB270C-3CED-4C19-89F9-6D48A5B8B6F5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/1CD490D2-302C-4A96-81DE-B9B0BADB0E6D/batches/EAAB270C-3CED-4C19-89F9-6D48A5B8B6F5]
2F14C571-C8AC-4E18-B40C-1C7B6DA920D4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/EB9E11EA-34FC-429B-AC24-532AA0E215B5/batches/2F14C571-C8AC-4E18-B40C-1C7B6DA920D4]
5F4CCA4B-8588-4A3D-B337-374FA6A608DA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/C9130D48-E0BE-466B-A7D4-63E8B88821EF/batches/5F4CCA4B-8588-4A3D-B337-374FA6A608DA]
3FA7C7E3-4811-4C93-979B-215F155E8675;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/F8412A32-59CF-47BD-97E8-FC7748780C71/batches/3FA7C7E3-4811-4C93-979B-215F155E8675]
45E66351-B1CD-45A5-B03C-67D7DB1B61F4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/B9B69099-BA11-462B-9489-A967910B6B09/batches/45E66351-B1CD-45A5-B03C-67D7DB1B61F4]
44D91319-49D5-4FC9-BE23-E64A7CCD01B3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/9AF38487-B057-4AD1-A4CD-7AD20E2BB776/batches/44D91319-49D5-4FC9-BE23-E64A7CCD01B3]
CA9BD001-BAC9-46C9-8666-B5129AA6A2AF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/0BEB3940-C1D1-4494-B9A1-044A77B72F6D/batches/CA9BD001-BAC9-46C9-8666-B5129AA6A2AF]
F6E3352B-BB46-4317-BE17-C9ECC129E6EF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/D4CDE478-288E-4603-8E26-284B55A5EB83/batches/F6E3352B-BB46-4317-BE17-C9ECC129E6EF]
1E651E46-9C75-4D1B-B322-C549F47B609A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B009E0FC-C6C2-4C74-A840-7D18590C9C72/manage/F8412A32-59CF-47BD-97E8-FC7748780C71/batches/1E651E46-9C75-4D1B-B322-C549F47B609A]
